#,Hasło,Uwaga
54,Chudy Antoni 1880-1935,Poseł na Sejm Ust. 1919-22 i II kadencji 1928-30.
55,Cianciara Jan 1875-1947,Poseł na Sejm Ust. 1919-22.
56,Ciekot Szczepan 1885-1964,Poseł na Sejm Ust. 1919-22. Zrzekł się mandatu 10 V 1920 na rzecz Aleksandra Niedbalskiego (z
57,Cieśla Adam Wiktor 1883-1944,Poseł na Sejm Ust. 1919-22
58,Czapiński Kazimierz 1882-przed 1941,"Poseł na Sejm Ust. 1919-22 oraz I, II i III kadencji 1922-35."
59,Czarnowski Wiktor 1889-po 1942,Poseł na Sejm Ust. 1919-22 (od 24.03.1922).
60,Czerniewski Artemiusz Ludomił 1883-?,Poseł na Sejm Ust. 1919-22 (od maja 1920) i I kadencji 1922-27.
61,Czetwertyński-Światopełk książę Seweryn Franciszek 1873-1945,"Poseł na Sejm Ust. 1919-22 (od 20.03.1919) oraz I (czł. Sądu Honorowego), II (wicemarszałek"
62,Ćwikowski Stanisław 1877-1960,Poseł na Sejm Ust. 1919-22.
63,Dachowski Filip 1893-1962,Poseł na Sejm Ust. 1919-22 i I kadencji 1922-27.
64,Daczko Karol 1860-1928,Poseł na Sejm Ust. 1919-22 (od 8.06.1920) i I kadencji 1922-27.
65,Daszyński Ignacy Ewaryst 1866-1936,"Poseł na Sejm Ust. 1919-22 oraz I (wicemarszałek od 26.11.1925), II (marszałek od 27.03.1928)"
66,Dąbal Tomasz Jan 1890-1937,Poseł na Sejm Ust. 1919-22.
67,Dąbrowski Jan 1876-po 1939,Poseł na Sejm Ust. 1919-22 (zrzekł się mandatu 6.11. 1919).
68,Dąbrowski Marian 1878-1958,"Poseł na Sejm Ust. 1919-22 (ślubowanie 15.11.1921) oraz I, II i III kadencji 1922-35."
69,Dąbrowski Stefan Zygmunt 1877-1947,"Poseł na Sejm Ust. 1919-22 (od 31.01.1922) oraz I, II, III kadencji 1922-35."
70,Dąbski Jan 1880-1931,"Poseł na Sejm Ust. 1919-22 oraz I, II (wicemarszałek od 28.03.1928) i III (wicemarszałek od 1"
71,Dembiński Bronisław 1858-1939,Poseł na Sejm Ust. 1919-22.
72,Dębski Jan Michał 1889-1976,Poseł na Sejm Ust. 1919-22 (sekretarz) oraz I (wicemarszałek od 26.11.1925) i II kadencji 1922
73,Dębski Władysław Aleksander 1863-1920,Poseł na Sejm Ust. 1919-22 (zmarł w trakcie kadencji 10.11.1920).
74,Diamand Herman 1860-1931,Poseł na Sejm Ust. 1919-22 oraz I (czł. Sądu Honorowego) i II kadencji 1922-30.
75,Dmowski Roman 1864-1939,Poseł na Sejm Ust. 1919-22.
76,Dobrowolski Kazimierz Władysław 1884-1957,"Poseł na Sejm Ust. 1919-22 oraz I, II i III kadencji 1922-35."
77,Dombek Paweł 1865-1925,Poseł na Sejm Ust. 1919-22.
78,Dreszer Zygmunt 1888-po1938,Poseł na Sejm Ust. 1919-22.
79,Dubanowicz Edward 1881-1943,Poseł na Sejm Ust. 1919-22 i I kadencji 1922-27.
80,Duda Feliks 1870-1928,Poseł na Sejm Ust. 1919-22 (wszedł w trakcie kadencji w grudniu 1919).
81,Dunajski Piotr 1869-1938,Poseł na Sejm Ust. 1919-22.
82,Durczak Jan 1884-1945,Poseł na Sejm Ust. 1919-22.
83,Duro Jan 1887-1937,"Poseł na Sejm Ust. 1919-22 oraz I, II i III kadencji 1922-35."
84,Dyło Tomasz 1871-1958,Poseł na Sejm Ust. 1919-22.
85,Dymowski Tadeusz 1888-1949,"Poseł na Sejm Ust. 1919-22 (mandat unieważniony na mocy wyroku SN z 31.05.1919, ponownie wybra"
86,Dymowski Tadeusz Mścisław 1885-1961,Poseł na Sejm Ust. 1919-22 i I kadencji 1922-27.
87,Dziennicki Stanisław 1885-1931,Poseł na Sejm Ust. 1919-22.
88,Dzikowski Błażej 1881-1940,Poseł na Sejm Ust. 1919-22 oraz II kadencji 1928-30 (ślubowanie 24.04.1928).
89,Dziubińska Jadwiga 1876-1937,Posłanka na Sejm Ust. 1919-22.
90,Erdman Alfons 1886-1943,Poseł na Sejm Ust. 1919-22 oraz I i V kadencji 1922-27 i 1938-39.
91,Falkowski Stefan Feliks 1879-1958,Poseł na Sejm Ust. 1919-22 i I kadencji 1922-27.
92,Farbstein Szyja Hesel 1870-1948,Poseł na Sejm Ust. 1919-22 oraz I i II kadencji 1922-30.
93,Federowicz Jan Kanty 1858-1924,Poseł na Sejm Ust. 1919-22.
94,Festerkiewicz Franciszek 1879-1947,Poseł na Sejm Ust. 1919-22.
95,Fichna Bolesław 1891-1945,Poseł na Sejm Ust. 1919-22 oraz III kadencji 1930-35.
96,Fijałkowski Aleksander 1876-po 1930,Poseł na Sejm Ust. 1919-22.
97,Fiołka Wojciech 1884-1952,Poseł na Sejm Ust. 1919-22.
98,Frąckowiak Jan 1877-po 1928,Poseł na Sejm Ust. 1919-22 i I kadencji 1922-27.
99,Friese Oscar Emil Julius 1885-1943,Poseł na Sejm Ust. 1919-22.
100,Gajewski Michał 1896-1939,Poseł na Sejm Ust. 1919-22.
101,Galik Edmund 1866-1942,Poseł na Sejm Ust. 1919-22.
102,Galiński Wincenty 1885-po 1938,Poseł na Sejm Ust. 1919-22.
103,Gall Rudolf 1873-po 1924,Poseł na Sejm Ust. 1919-22.
104,Gałka Antoni 1889-1965,Poseł na Sejm Ust. 1919-22.
105,Gawlikowski Jan 1892-1962,Poseł na Sejm Ust. 1919-22 i I kadencji 1922-27.
106,Gdyk Ludwik Teofil 1874-1940,Poseł na Sejm Ust. 1919-22 oraz I (wicemarszałek) i II kadencji 1922-30.
107,Gęborek Władysław 1887-1951,Poseł na Sejm Ust. 1919-22.
